,y_hat,y
9482,0,0
10638,0,0
5171,0,0
4481,0,0
2829,0,0
9752,0,0
8120,0,0
6694,0,0
7944,0,0
6879,0,0
5207,0,0
6505,0,0
5762,0,0
8940,0,0
1397,0,0
1002,1,0
10731,0,0
4656,0,0
9998,0,0
209,0,0
8760,0,0
5830,0,0
3075,0,0
5725,1,1
6860,0,0
3992,0,0
9113,0,0
5478,0,0
923,1,0
2373,0,0
4280,0,0
5683,0,0
5366,0,0
10283,0,0
9582,0,0
4251,0,0
1922,0,0
8640,0,0
4436,1,0
10835,0,0
729,1,0
8041,0,0
1521,0,0
10284,0,0
2594,0,0
5330,0,0
8900,0,0
6238,0,0
3445,0,0
4038,1,0
8955,1,0
4359,0,0
4949,0,0
8513,0,0
4266,0,0
7987,0,0
7989,0,0
9424,0,0
1786,0,0
3836,0,0
8850,0,0
1171,0,0
3433,0,0
5826,0,0
300,1,0
1519,0,0
3628,1,0
3594,0,0
6791,0,0
5368,0,0
5945,0,0
7999,0,0
587,0,0
9270,0,0
4619,0,0
5322,0,0
7802,0,0
7476,0,0
9249,1,1
6999,0,0
7040,0,0
8755,0,0
4384,0,0
1829,0,0
9136,0,0
5513,0,0
854,0,0
5419,1,0
5930,0,0
4255,0,0
8971,0,0
7598,0,0
406,0,0
464,0,0
10056,0,0
2320,0,0
5893,0,0
2989,0,0
9280,0,0
3603,0,0
10682,0,0
7435,0,0
2689,1,0
1036,1,0
5135,1,0
5463,0,0
5277,0,0
10807,0,0
7706,0,0
3648,0,0
3209,0,0
5877,0,0
1733,0,0
797,1,0
1823,0,0
8898,0,0
6132,0,0
10290,0,0
3448,0,0
2544,0,0
8725,0,0
4529,0,0
3518,0,0
3334,0,0
6027,0,0
9763,0,0
9457,0,0
1382,0,0
775,0,0
5505,1,0
8726,0,0
2176,0,0
2909,0,0
5832,0,0
592,0,0
8294,0,0
9302,0,0
447,0,0
3156,0,0
1102,0,0
2321,0,0
1462,0,0
6031,0,0
344,0,0
10041,0,0
8594,0,0
3859,0,0
10278,0,0
7982,0,0
5816,0,0
8848,1,0
